name,word,count,positive,negative,review_ids
good food,good food,4,100,0,"['1Aq9JubmGVuupMxKTbi3Ig', 'r-OH_PlJVEf8JZifHssnHg', 'HX8SuA-ss6kFraRe3eiHZQ', 'QZ3cfoU3qRyjDtbPnvcsPw']"
madison,madison,6,100,0,"['AnRtrp3uAEZWJIJfiuVchw', 'sjQxKIdhrhwbRTvn8XVt_Q', 'Xk41xO66IDmDfsHxcU9lbw', 'uwv745L_6dRM4YzKvfM4Gw', 'ypNwIPenE77OJ9klbBYZow', 'wsjvl5gLfcctdcKim8odEw']"
desserts,desserts,4,75,25,"['PirkXZ2tktS_-RZNy_Jeiw', 'UjV1OQSB0g5TJkdDD53_Gw', '1TFEy7twpPcFPXPPZvRVBw', 'QZ3cfoU3qRyjDtbPnvcsPw']"
stuffed mushrooms,stuffed mushrooms,3,100,0,"['amss15HcUsp2PVC0iBC5dw', 'I93w9Kc-0RU12eZDRbcNqg', 'Go7AEgEVOFH8TQUBkj6pbw']"
carpet,carpet,2,0,100,"['KAtPlJ8FwQ1fGiLSiBWwEQ', '_LzAvouyQOmUpu_Fei97og']"
worth,worth,3,100,0,"['swSzPxOOjhJSw_6N1OZXrA', 'a6Mb8kUWBJhgIvuCl6P8TA', 'JVrGn1gjDLr4c2aDke9IXQ']"
pecan catfish,pecan catfish,2,100,0,"['Y9xfpGSJPZywoL3VMZ0AaA', 'vHbn8Kek20VfdXtr-QXUVg']"
excellent service,excellent service,2,100,0,"['I93w9Kc-0RU12eZDRbcNqg', 'nqnqAqKeLPDTKmp7t_7s0A']"
presentation,presentation,2,100,0,"['vHbn8Kek20VfdXtr-QXUVg', 'AnRtrp3uAEZWJIJfiuVchw']"
friendly,friendly,7,85,14,"['AnRtrp3uAEZWJIJfiuVchw', 'Go7AEgEVOFH8TQUBkj6pbw', 'sjQxKIdhrhwbRTvn8XVt_Q', 'KAtPlJ8FwQ1fGiLSiBWwEQ', 'loqouE-XAuFcDRcdlxRnhQ', 'sz3vax-yr104diI1-WCo_A', 'zwvZRSXv-LBK4S8zkDSq_Q']"
bar area,bar area,2,100,0,"['Y1esjrYEnPYGUzfXstQkCQ', 'zwvZRSXv-LBK4S8zkDSq_Q']"
wished,wished,2,100,0,"['Y9xfpGSJPZywoL3VMZ0AaA', 'ENQgulGSN9rYU9BlCtKM4Q']"
sitting,sitting,2,100,0,"['qLJZyg5zbPdnu7yEOWcS4Q', 'PirkXZ2tktS_-RZNy_Jeiw']"
dessert,dessert,5,100,0,"['amss15HcUsp2PVC0iBC5dw', 'loqouE-XAuFcDRcdlxRnhQ', 'Y1esjrYEnPYGUzfXstQkCQ', 'AnRtrp3uAEZWJIJfiuVchw', 'swSzPxOOjhJSw_6N1OZXrA']"
large,large,2,100,0,"['gUPteJ1yDiQ3fU0Q9gs_kQ', 'Y1esjrYEnPYGUzfXstQkCQ']"
small,small,4,75,25,"['gUPteJ1yDiQ3fU0Q9gs_kQ', 'Y1esjrYEnPYGUzfXstQkCQ', 'QIQD9mAIJi3-dPC-mHBTbQ', '_12JjluBanmqfpQnNl5wSQ']"
ricotta sauce,ricotta sauce,2,100,0,"['qLJZyg5zbPdnu7yEOWcS4Q', '6R4MnLqSUftZnP701hHYKQ']"
split,split,2,100,0,"['s6TKXDkzihTGGn05wjcNbA', '1TFEy7twpPcFPXPPZvRVBw']"
chef,chef,3,100,0,"['AnRtrp3uAEZWJIJfiuVchw', 'HX8SuA-ss6kFraRe3eiHZQ', '_12JjluBanmqfpQnNl5wSQ']"
dish,dish,3,100,0,"['qLJZyg5zbPdnu7yEOWcS4Q', '9FQQxVdSk_4xuqIBzvUN9g', 'AnRtrp3uAEZWJIJfiuVchw']"
glad,glad,2,100,0,"['gtc5YWKUpJ6bdmChBHBE5g', 'sjQxKIdhrhwbRTvn8XVt_Q']"
drinks,drinks,6,100,0,"['HX8SuA-ss6kFraRe3eiHZQ', 'T4LMlqm85ZqrRdVm4pl1Zg', 'WlB4wq4ry4FRru9uxy4XZg', '6R4MnLqSUftZnP701hHYKQ', 'sjQxKIdhrhwbRTvn8XVt_Q', 'I93w9Kc-0RU12eZDRbcNqg']"
jambalaya,jambalaya,3,66,33,"['HX8SuA-ss6kFraRe3eiHZQ', 'a6Mb8kUWBJhgIvuCl6P8TA', 'QIQD9mAIJi3-dPC-mHBTbQ']"
enjoyed,enjoyed,4,100,0,"['I93w9Kc-0RU12eZDRbcNqg', 'sz3vax-yr104diI1-WCo_A', '6R4MnLqSUftZnP701hHYKQ', 'sjQxKIdhrhwbRTvn8XVt_Q']"
experience,experience,2,50,50,"['qLJZyg5zbPdnu7yEOWcS4Q', 'QIQD9mAIJi3-dPC-mHBTbQ']"
order,order,4,100,0,"['I93w9Kc-0RU12eZDRbcNqg', 'nqnqAqKeLPDTKmp7t_7s0A', 'vHbn8Kek20VfdXtr-QXUVg', 'AnRtrp3uAEZWJIJfiuVchw']"
told,told,4,100,0,"['swSzPxOOjhJSw_6N1OZXrA', 'Y1esjrYEnPYGUzfXstQkCQ', 'BhAqY5yi14TBm5eDeTlUDg', 'vHbn8Kek20VfdXtr-QXUVg']"
full,full,2,100,0,"['ENQgulGSN9rYU9BlCtKM4Q', '6R4MnLqSUftZnP701hHYKQ']"
cozy,cozy,2,100,0,"['I93w9Kc-0RU12eZDRbcNqg', 'Y1esjrYEnPYGUzfXstQkCQ']"
mussels,mussels,3,100,0,"['I93w9Kc-0RU12eZDRbcNqg', 'Y1esjrYEnPYGUzfXstQkCQ', 's6TKXDkzihTGGn05wjcNbA']"
met,met,2,100,0,"['Y9xfpGSJPZywoL3VMZ0AaA', 'WlB4wq4ry4FRru9uxy4XZg']"
busy,busy,2,100,0,"['sz3vax-yr104diI1-WCo_A', 'nqnqAqKeLPDTKmp7t_7s0A']"
making,making,2,100,0,"['sz3vax-yr104diI1-WCo_A', 'BhAqY5yi14TBm5eDeTlUDg']"
wait,wait,3,100,0,"['gUPteJ1yDiQ3fU0Q9gs_kQ', 'qLJZyg5zbPdnu7yEOWcS4Q', 'a14-CKEdqDKQ9FFqCqnlSg']"
great,great,9,100,0,"['BhAqY5yi14TBm5eDeTlUDg', 'a14-CKEdqDKQ9FFqCqnlSg', '6R4MnLqSUftZnP701hHYKQ', 'Go7AEgEVOFH8TQUBkj6pbw', 'swSzPxOOjhJSw_6N1OZXrA', 'chC_bz58cHcbNauF4H0Muw', 'uwv745L_6dRM4YzKvfM4Gw', 'Y1esjrYEnPYGUzfXstQkCQ', 'qLJZyg5zbPdnu7yEOWcS4Q']"
entrees,entrees,3,100,0,"['swSzPxOOjhJSw_6N1OZXrA', 'qLJZyg5zbPdnu7yEOWcS4Q', 'QZ3cfoU3qRyjDtbPnvcsPw']"
makes,makes,2,50,50,"['KAtPlJ8FwQ1fGiLSiBWwEQ', 'nqnqAqKeLPDTKmp7t_7s0A']"
love,love,3,100,0,"['Y9xfpGSJPZywoL3VMZ0AaA', '6R4MnLqSUftZnP701hHYKQ', 'T4LMlqm85ZqrRdVm4pl1Zg']"
app,app,2,100,0,"['Y1esjrYEnPYGUzfXstQkCQ', 'chC_bz58cHcbNauF4H0Muw']"
blackened catfish,blackened catfish,3,100,0,"['loqouE-XAuFcDRcdlxRnhQ', 'a6Mb8kUWBJhgIvuCl6P8TA', 'vHbn8Kek20VfdXtr-QXUVg']"
duck,duck,2,100,0,"['ENQgulGSN9rYU9BlCtKM4Q', 's6TKXDkzihTGGn05wjcNbA']"
hoping,hoping,2,100,0,"['qLJZyg5zbPdnu7yEOWcS4Q', 'sqfgS--np35F5o2XHqFlAw']"
flavors,flavors,2,100,0,"['ENQgulGSN9rYU9BlCtKM4Q', 'Y1esjrYEnPYGUzfXstQkCQ']"
give,give,7,85,14,"['QZ3cfoU3qRyjDtbPnvcsPw', 'qLJZyg5zbPdnu7yEOWcS4Q', 'I93w9Kc-0RU12eZDRbcNqg', 'ENQgulGSN9rYU9BlCtKM4Q', 'UjV1OQSB0g5TJkdDD53_Gw', 'gtc5YWKUpJ6bdmChBHBE5g', '1TFEy7twpPcFPXPPZvRVBw']"
visit,visit,2,50,50,"['sz3vax-yr104diI1-WCo_A', '_LzAvouyQOmUpu_Fei97og']"
music,music,2,50,50,"['KAtPlJ8FwQ1fGiLSiBWwEQ', 'PirkXZ2tktS_-RZNy_Jeiw']"
